id,dialogue,options
286,A:王小弟的那個聲音啊 真的好像小朋友的聲音 你是怎麼詮釋的,B:就我們家的傳統 就是阿公死掉 有沒有 要傳承給孫子的	B:假如說當事人坐在上面不乖 不聽話 故意亂動的話 我們這個都監測得出來	B:是一個小男孩的感覺嘛 所以就像一個 跟奶奶在撒嬌的小男孩的感覺	B:為了在外頭多玩一會兒 每天都要跟象伕鬥智	B:牠雖然現在就是毛是順的 然後不刺這樣子 但牠在倒退的時候 那個刺有時候會倒鉤	B:你們要快樂一點 聽到沒有
287,A:接下來我們要做裁剪的工作 先把對角畫起來 然後我們剪下來就可以了	B:老師在剪接修邊的時候 有沒有要特別注意什麼,A:我們要先試飛啊 能飛我們再來畫啊	A:而且也不怕它撞壞啊	A:讓風箏呈現一個四十五度角的傾斜度	A:輝哥還要等什麼啊	A:特別注意就是說 我們要沿著直線要剪直	A:我們禮拜天要辦成果發表會
288,A:你說是莽撞也好 或者說她是一個叛逆 是一個這樣 真性情	B:對 很真性情的人	A:不是 而且這樣聽你講 我就可以想像當年 你媽媽就帶著狗 在草原上奔騰的那種感覺,A:當然是要說台語的啊	A:不然我神木我有講對啊	A:你要跑去哪裡	A:我知道這個神木的台語叫做神樹 不能夠直接翻譯這樣神木叫神木對不對	A:可是像媽媽 您母親這麼喜歡這些小動物們 是不是也影響到 你們整個家庭生活呢	A:記憶力消退了
289,A:那你今天要教我們什麼 老師	B:像你們之前不是有問過我說嗎 像我們一般吃這種綠綠的棗子 是不是一樣的	C:人家說不能吃 你不要拿,A:所以這個棗子越來越大顆	A:還是因為品種的改良	A:所以才越來越大顆的	A:這是品種的關係	A:現在的棗子越來越大越來越甜	A:你們專心一點好不好
290,A:他們吃麵的時候會發出聲音	A:那你可不可以示範一下 他們吃麵怎麼樣吃法,B:就這樣啊 這樣 好像很好吃的感覺	B:這樣不可以剪 不可以從這裡剪	B:拿去戶外晾乾要取得酵母菌	B:你在看報紙啊	B:打造一個安全無虞 舒適樂活之行車環境	B:我今天早上吃了三明治
291,A:她每次都這樣 先給別人一點甜頭再叫別人替她做事情呢,B:吃人家的東西就要幫忙打掃	B:要記什麼	B:還好吧她也有不得已的苦衷 幹嘛要把人家想這麼壞	B:老師要我們帶的東西啦 或是班上的雜事什麼拉哩拉雜的東西	B:她鼻子過敏暫時不能碰灰塵 所以請我幫忙打掃啊	B:你才買十二色的喔 二十四色不是比較方便嗎
292,A:打了一氧化碳之後會讓魚看起來比較新鮮 那會不會跟吊白塊一樣危害人體,B:而且只要百萬分之一的濃度	B:都是台南澎湖地區的人喔	B:既然日本人開發了這個港	B:它要從那個地方出去	B:漁民們用來浸泡魚貨的吊白塊	B:不會危害人體
293,A:那涂先生你知不知道這附近	A:哪邊有人在做這個蠶絲被啊,B:這一片桑葉園很大片耶	B:都是你一個人的喔	B:這裡應該就是桑園囉	B:我就有做啊	B:桑葉好漂亮哦	B:好難得看到那麼大片的桑葉耶
294,A:怎麼都不給我吃 小氣鬼	B:我這個可以啃很久,A:現在體驗一下	A:可是我想吃一口乖乖玉米棒	A:這是大家庭的優點	A:你有別的好方法嗎	A:那要把拖鞋收好	A:我們一起合作
295,A:拿來 我看	B:不行 你真的很粗魯	C:沒錯 像她恰北北的女生 我是絕對不會投她一票的,A:我們等一下可以去操場玩嘛	A:你們男生真的很無聊耶 玩什麼投票 幼稚	A:文章提到蟑螂什麼都吃 以及頑強的生命力和繁殖力	A:所以大學的宿舍生活真的很好玩嗎	A:這項技術正在走向成熟 未來航天發射成本有望大幅下降	A:我剛剛看到一架飛機
296,A:老師我們不是要做風箏嗎 你現在舖竹蓆要睡午覺嗎	B:用竹蓆來做風箏沒錯啊,A:圖案嘛對不對因為我們要畫圖案的關係	A:吸血鬼不要吸我的血	A:我們要先試飛啊 能飛我們再來畫啊	A:用這個竹蓆怎麼做	A:特別注意就是說 我們要沿著直線要剪直	A:讓風箏呈現一個四十五度角的傾斜度
297,A:我 真的這麼配不上你嗎 	B:妮可 我不是這個意思,A:這也是算命的一個好處啊	A:絕對不會成為是白老鼠	A:在導盲犬的帶領下 勇敢的踏出去	A:男生就是會比較壯喔	A:你不用解釋了 事實就是這個樣子	A:上下樓梯搬東西最麻煩了啦
298,A:您認為聾人表演技巧的特色在哪裡呢	B:這個是隨堂考試嗎	B:我第一個想到是說 就是說第一個聲音的那個部分 因為你不太能夠用聲音,B:農民密切注意氣象資訊 尤其是高海拔 沿海空曠等地區	B:描述她勇於告別過去的悲喜甚或輝煌 學會跳脫世界的紛擾與阻礙	B:如果我有下部作品的話 希望大家可以支持	B:照片發布至推特上後 立刻引起大批網友熱議	B:所以用聲音對他們來講會是一個缺陷	B:你的歌聲很嘹亮
299,A:我是擔心像跟你球技那麼差的人同一組 我會被拖累	B:你以為我們愛跟你一組喔	B:如果每個人技術都那麼好的話 那麼大家都去打校隊就好了啦,A:可是這樣的球技也差太多了吧	A:全家搬到美國去	A:寫得越認真笑臉章就會越多	A:不知不覺也就過了六年	A:各位同學早	A:終究還是回到了我最喜歡的校園
300,A:老師 要不要浮潛啊 我可以教你喔	B:浮潛啊 我沒有想過耶 而且我還怕怕的,A:梁老師 來綠島怎麼可以錯過浮潛這項熱門活動啊	A:對啊這個劍都快比他高了	A:還是希望一次比一次做得更好	A:而且我已經想通了	A:但是我現在就有一個問題	A:每次看到烹飪的書
301,A:那你幹嘛不開補習班啊 很賺錢耶	B:我跟錢有點過不去,B:哪裡賺錢的 就往反方向跑這樣子	B:不要玩這些電子音樂	B:那不是音樂	B:我也不需要學歷	B:就是一隻腳這樣沾濕了	B:這是什麼東西
302,A:對他來說	A:不花錢到大賣場試吃填飽肚子,A:線上遊戲公司主管	A:到底來訪的座上嘉賓會是誰呢	A:可算是最棒的一餐了	A:這樣可以省一些瓦斯費	A:再來就是懷著一顆無比興奮的心情	A:就可以先把食材包好
303,A:如果飛機在飛行當中打一個小洞的話 會不會影響飛行的安全呢,B:如果這個洞的話經過仔細的設計的話 應該不至於造成太大問題	B:其實狗搖尾巴有很多種方式 高興搖尾巴 生氣也搖尾巴	B:所以只要依照政府規定 在採收前十天不要噴灑農藥	B:靜電才是加油站爆炸的元凶 手機不過是代罪羔羊	B:我們可以用表面張力及附著力的原理 來測試看看	B:不過蝦子死亡後 身體會釋放出有毒素的體液 可能造成水的變質
304,A:我沒有跟老師說你手受傷的事啊	B:不是你還會有誰 我受傷的事情只告訴過你,A:可是我真的沒有說啊	A:謝謝你	A:那就麻煩你們囉	A:怎麼突然停下來了	A:那我再想辦法	A:你們好厲害喔
305,A:沒有辦法二十四小時陪你 只有你一個人,A:而同學都有爸媽的陪伴	A:但是有些學長會欺負我	A:如果班上的同學	A:他們有爸爸媽媽	A:會去接他們放學	A:而嘲笑你
306,A:還問我去哪裡 我差點就沒命了	B:什麼啊	A:我忘記帶鑰匙,A:這是我人生最大的目標	A:也是我最重要的里程碑	A:怎麼可以受到一點點挫折就放棄呢	A:真希望你對英文有這麼大的期許啊	A:所以回不了家	A:可是我爸說過
307,A:為什麼陳怡霖要幫你記 你為什麼不自己記呀,B:有啊 怡霖她 怡霖怡霖在哪兒	B:我給她兩本記事簿啊 很貴又很漂亮呢 是她自己答應要幫我記的	B:其實同學們都以為依君給你很多好處 所以你才跟她在一起的	B:可是既然你覺得我做得不好 那我就不要做了	B:兩個音節的形容詞 前面就不需要加MORE	B:怡霖你不要鬧脾氣了啦 我知道你很喜歡這個袋子
308,A:原來藥用植物不等於是草藥 我以前都搞錯了	B:現在你知道了吧,A:要記得收看我和曉書主持的「聽聽看」	A:這個時候又要和大家說再見了	A:原來藥用植物除了可以做成中藥之外還可以當作藥膳補品	A:用心聽聲音	A:這樣反而對身體不好喔	A:轉眼又要過元宵節了
309,A:比較多吧 那個才是最值得收藏的 不曉得她的拍攝技術好不好,B:沒有特定喜歡拍什麼 就是有點在生活一些小事情	B:她不理我啊	B:這一片正在施工的工地 將會被設計成一座紀念公園	B:你出來都拍些什麼東西	B:給我看看	B:可是她說她很愛到處拍照
310,A:一直到媽媽身體狀況急遽惡化 這才讓道江 揮別三年的海外生活 回台定居	B:當我從澳洲回來的時候,B:偶爾還是會親自下廚	B:因此對於全家都外食這件事情	B:一定要擺得好好給人家看	B:那時候我媽在臺大醫院	B:友志其實是有壓力的	B:畢竟她繼母的身分
311,A:你年紀那麼大了 還顧雜貨店 那麼辛苦喔,B:這一次自己親自來體驗	B:然後視野常常是一望無際	B:這個一個五塊	B:我的兒女是很捨不得啊	B:不過我還是覺得很興奮	B:看到很多人的單車日記
312,A:你別撒嬌了 你早知道我會幫你抄聯絡簿對不對,B:被你發現囉	B:我也好想念一起回家的日子	B:九月十日	B:那個時候 我們一起走在同一條路上	B:我很喜歡這個闕詞	B:蕙馨得到第一名
313,A:我真的沒有想過要傷害你	A:我同學說的那些話是無心的,A:半夜三更不睡覺	A:有什麼好洗的啊	A:你會一點點手語耶	A:你交了別的女朋友	A:請你不要放在心上	A:他越是有可能回來找你的啦
314,A:為什麼要領錢還要事先講呢	B:那是因為行動郵局 它不會帶太多錢出門喔	A:要怎麼領呢,B:他可以重複領好幾個地方	B:老闆娘 你要領那麼多	B:看你笑得眉開眼笑的	B:我回去打打看因為你超過時間了	B:由行動郵局的人開車載你回郵局領錢	B:所以就算是要存錢也不行
315,A:大家叫他銼冰泉 因為他在附近一家製冰工廠切冰塊 要是那一天冰塊切得很順,A:我等這一刻等很久了	A:你給我飲料幹什麼啦	A:我看到金剛的眼睛	A:贏了比賽就不能快樂的跳舞	A:決戰到最後的時刻	A:他就會在外頭喝兩杯再回家
316,A:又熬夜K書了 讀不完了 對不對	B:不要吵 我快背好了	A:明天上學不要爬不起來 遲到,B:你願意原諒我們嗎	B:你們在看什麼	B:沒去嘗試怎麼知道不會呢	B:你就是接受我的邀請囉	B:我有調鬧鐘啦	B:我不應該發那麼大的脾氣的
317,A:可能是最近交了壞朋友 所以才變壞的	B:對啊 碧珊你趕快跟劉老師說對不起 請他原諒你	C:你們幹嘛這樣低聲下氣啊 他是罵我沒家教 又不是罵你們,C:你罵夠了沒啊 考零分就考零分 你憑什麼罵我沒家教	C:碰到不會寫的題目 至少要填個答案上去	C:簡直就是小太妹嘛 我們以後要跟她保持距離才好	C:你嘴巴厲害 我倒是要看看你有理還是我有理	C:也對啦 因為你們兩個沒有把我教好嘛	C:你們不是叫我們要誠實嗎 我現在很誠實告訴你 我沒念
318,A:上次那個答錄機摔壞了 要不要我幫你修啊	B:不用了,B:你要當兵了嗎	B:那個搬家的時候就丟掉了	B:我覺得你的脾氣太衝了	B:不知道還在等	B:你知不知道	B:阿明啊
319,A:默劇就希望說 我不要用真正的語言去說話 而是用身體去講話	B:原來如此啊 默劇竟然有這麼多的學問,A:你們果園的工人做事情很粗心大意	A:像我們聾人朋友表演的形態 大部分也是以不出聲音為主	A:還在猶豫選校或選系的同學們 不妨聽聽老師怎麼說	A:歌聲這種東西其實好不好聽有時候是天生就決定的	A:小孩子還真的會做葡萄酒	A:汙染水源導致養殖文蛤大量暴斃
320,A:我希望你能原諒我 繼續當同學 好嗎,B:詠真 對不起 是我誤會你了	B:不用客氣 伯母	B:我只能當個旁觀者	B:不相信我帶你去看	B:所以這是一個很特別的夜晚	B:他可能太無聊吧
321,A:媽 對不起 今天我不應該對你大吼大叫的 原諒我好不好	B:傻孩子 你是媽媽的寶貝 媽媽沒有生氣 只是有點難過,A:這是我的專利	A:不過為了我自己的夢想 我一定會堅持到底的	A:我就得放棄自己的夢想嗎	A:媽 不要生氣好不好 拜託啦	A:媽 我知道啦	A:謝謝各位同學精彩的報告
322,A:還在讀書嗎,B:以後我真的不敢再鐵齒了	B:是我在玉井那個招待所親身經歷的	B:你也別把我叫那麼老	B:連小學生聽了都覺得是個笑話	B:這國內國外走南闖北的	B:早就畢業了啦
323,A:所以我們現在要用鹽鍬 來 講一次	B:鹽鍬	A:台語叫做鹽鍬仔,B:拜託你	B:鹽鍬仔	B:你不要羨慕啦	B:這是我日本朋友來台灣 特別送我的	B:很累呢	B:這 好痛喔
324,A:務農的人 什麼是每餐必備的食物呢,B:不要害我笑	B:湯一定要要啊 然後飯啦	B:令我感到驕傲	B:反正就是會想家	B:就說你嫁給我吧	B:剛剛講的故事是真的還假的
325,A:去補習班的事情 你決定好了嗎	B:我覺得補習班的人好多 而且位子又好小,A:請幫我簽名	A:其實念書還是要靠自己的	A:你怎麼會在這裡	A:補習班本來就是這樣	A:太吵或太安靜都不行	A:我旁邊還有空位
326,A:人家那是正式的場合 難道你想穿奶罩啊,B:好像那個過世的不是他朋友	B:你怎麼知道我有穿	B:希望等一下 阿陽不要認不出我們來	B:今天晚上是見他最後一面	B:原來你是真的要離開我	B:等一下我們的歌舞 都只獻給你一個人
327,A:可是你現在要學 要兩年才能考上黑帶	B:還要兩年的時間喔	A:對,B:跆拳道社團是我們學校最大的一個社團	B:那不就還要很久	B:同學們已經排好隊在那邊練習了	B:我今天要來拜訪的這個跆拳道社團	B:小兵說要表演什麼 好像神秘兮兮的	B:那邊有木板 幫我拿來分一下
328,A:就是這本書 作者叫做鍾宛貞 她因為腦瘤 而造成了視覺跟嗅覺都喪失了功能,A:我想在這邊要說明的是	A:在這整個規定還沒有制定之前	A:但是她仍然樂觀看待生命中的每一件事	A:其實從九十三年開始	A:部裡面已經協調人事局還有所有的用人機關	A:不再對所謂的中重度視障
329,A:這地方太小了 我想要的都不在這裡 我想要去本島多看看多學習,B:蕭成浩 你跩什麼跩 既然不喜歡這個地方 就不要在這裡啊	B:他問你現在生吃可以嗎	B:都是用這原理來開通	B:記得跟千晏一起回來吃飯	B:因為這裡是日治時代的貴族學校	B:然後由小朋友或者是我
330,A:你們家就是動物園就對了	B:我比較嚴重 然後我也不知道為什麼這樣 所有的動物來講 牠真的處境堪憐才收留	A:你先告訴我們 你現在養了多少隻不同的動物,B:哪次考過你們國語的啊	B:日出台語就是日出啦對不對	B:鹽在日常生活裡面有什麼妙用	B:真的是鹽甕仔生蟲不可能	B:學習事情不要想說投機取巧	B:十九隻狗 十九隻貓 三隻鵝 八隻雞 然後兩隻鴿子 一隻阿哥
331,A:你的手怎麼會抖成這樣呢 怎麼了	B:不曉得 早上起床後 不知道為什麼 手指麻麻的	A:我想你應該是在睡覺的時候 長時間壓到手的關係才會發麻,B:我把人生最真實的這一面 帶過來	B:分享給更多的人知道 他就覺得值得囉	B:他也自己寫了一本自傳 要跟社會大眾分享一下	B:台灣有兩千三百萬人 一年出現不到十個病例 為什麼是我	B:只是小毛病而已 過幾天就會好的啦	B:把這樣的一個熱愛生命鬥士 請到學校來
332,A:你可以教我們怎麼曬魚嗎,B:我在檢驗禽流感	B:魚已經曬完了 要等明天啊	B:謝謝醫生幫我打預防針	B:你們已經完成你們的任務	B:是由不一樣的病毒所引發	B:模擬出它立體的樣子
333,A:你應該趕快被調去當兵才對	A: 這麼優秀還會自己做炸彈	B:我做這個只是好玩喔,B:等一下	B:借看一下會怎樣啊	B:不會很亂哪	B:桌上那是什麼東西啊	B:你們不要到處亂講	B:你在裡頭幹嘛
334,A:你們來看嘛 我之前寫報告的時候 有找到這些資料	B:什麼資料	A:你們看 日月潭喔,B:這個四角網的捕魚方法	B:對喔我之前有去日月潭探索過	B:就把網子綁在四根竹子的四邊	B:然後這個竹子放下去的時候	B:就是它這個竹子有四邊嘛	B:游進去的時候
335,A:登山要避免穿著紅色衣物	A:因為太過鮮豔會被蜂群叮上,A:你現在出去看到紅綠燈	A:留下來的藏寶圖	A:這個時候又要和大家說再見了	A:會一點點呀學一點點	A:許多人也因此付出了性命	A:穿著淺色衣物比較恰當
336,A:阿忠有一種那個 很神氣的那種感覺	B:有嗎 很臭屁,A:她當初看到我的時候 感覺很臭屁	A:我對那個有藝術家氣息的人 都比較欣賞	A:應該是說很臭屁 很有自信	A:為了阿忠 阿萍還辭掉做了六年左右的 廣告招牌行政工作	A:就是叫我上去 示範幾招給他們看	A:然後我就去探班
337,A:那你有沒有聽過一句話 叫做民以食為天,B:那如果覺得這則流言是真的話	B:竟然有黑心的商人	B:這裡地方大概是日治時期的	B:這個注音符號它的拼音方法	B:然後呢再送到那邊去	B:民以食為天 有啊
338,A:好冷喔 現在這邊大概攝氏大概四度	A:我們離開台北的時候 攝氏大概十四度,A:你有想我喔	A:你是什麼星座	A:最害怕蜘蛛	A:所以相差了大概十度有	A:又一批小魚長大了	A:真實體驗魔鬼終結者劇情
339,A:我想請問一下林老闆 你們經營這家店有多久了	B:三十年以上了,A:老闆娘別客氣 儘管說出來	A:看到你們店裡 賣的都是很久以前的東西了	A:最近幾年這麼不景氣 你們還能夠保存這家店 真的是很不簡單	A:以前跟現在比較起來 以前生意好	A:旁邊改成了快速道路 所以住家都遷走了	A:我看你沒什麼天分
340,A:宇翔 你當初為什麼會想要學騎馬呢,B:那米開朗基羅牠的個性是怎麼樣的	B:大家才能夠共同贏得勝利嘛	B:所以所有的建築設計圖 都由政府免費提供	B:經過七七四十九天的深思熟慮	B:如果耳朵亂動的話 就是代表牠不專心	B:可能是興趣吧
341,A:你還不是跟我一樣	B:我跟你才不一樣	A:不理你了,B:我不知道耶	B:你又不胖	B:你的眼光也太特別了吧	B:我也不理你了	B:有時間要多練習	B:飲料隨你喝到飽
342,A:那這個年畫是怎麼做的啊	B:我也不知道耶	B:應該去探索一下 你不是很有興趣嗎,B:這個顏色也好鮮艷哦	B:真是讓我耳目一新	B:就是那種喜氣洋洋的	B:好漂亮哦	B:我們不會寂寞的	B:你就應該去探索一下 然後回來再跟我們分享你的探索心得啊
343,A:透過高速旋轉的離心力 可以加快血液中 顆粒的沉降速度,A:他跟我們講說這是龍蝦血	A:而讓不同密度的物質分離呢	A:因為牠是節肢動物	A:就是牠身體上有甲殼素	A:那牠的顏色就是叫血綠素	A:血怎麼這個顏色的啊
344,A:我明天就可以做生意了	B:怎麼不多休息兩天,A:夏令營的作業 大家一定要準時交	A:因為她要為以後出國念書的基金做準備	A:我命苦啊 而且家裡就這麼一個女兒 不也就希望她將來過得好一些	A:錢 她們一家都愛錢	A:那只是她隨便亂塗鴉而已 哪有什麼老師說得那麼好	A:只不過當畫家可沒那麼容易
345,A:你兒子知道嗎	B:他不知道	A:你們不想讓他知道,B:幼華還是順著兒子	B:那個廠商的產品	B:來看看他們家都怎麼吃的吧	B:看就知道啦	B:幼華非常擅長時間管理	B:聽到這段對話的幼華
346,A:我們也想知道你心目中的班花類型	A:同學們 對不對	B:對,C:這個皮夾很漂亮	C:離開教室 記得關好門窗	C:等一下你們要吃什麼	C:太好了 期待你的表現	C:其計劃挑戰火箭回收技術的更高難度	C:老師喜歡認真負責的女孩子
347,A:由利 你的工作室在哪兒,B:這個是我的秘密	B:客人最好是有日本淵源的	B:這家人的晚餐名單都是美女呢	B:聖誕節前夕	B:你們喜不喜歡來這邊	B:會想請誰來吃晚餐呢
348,A:這匹馬是你自己的嗎	B:不是 是馬場的 然後我就自願來幫他們	A:那你為什麼要幫忙刷呢,B:我應該要動哪裡呢	B:然後就開始學習騎了	B:我就蠻欣賞這個運動的	B:因為我等一下要騎牠	B:那你現在在綁什麼	B:我們怎麼可能歧視女生呢
349,A:你這樣做是不對的	B:老師 這裡又不是教室 不要給我上課好不好 不付五萬塊 底片是不會給你們的	C:紀老師 不用跟他爭論了 既然他不願意把底片給交出來,C:我們只是簽同意書	C:可以去翻翻六法全書	C:又不是訂合約	C:沒有法律上的限制	C:兩位要是不相信的話	C:我們就在網路上 把這家公司的惡行惡狀公佈出來
350,A:你知道剛剛看到的那些海鳥 為什麼要俯衝下來呢	B:牠們是因為要覓食嗎,A:母海鳥平均每半年 會生到一兩顆蛋	A:大家都樂在其中了	A:澎澎灘上還可以做浮潛	A:不是	A:恐怕還要加上觀光客的人數吧	A:恐怕還要加上觀光客的人數吧
351,A:阿威啊 這是老闆要給你的啦	B:這是什麼,A:那麼想念幹嘛	A:這邊的朋友揮揮你的手	A:碰到日出我就化陣煙飄走	A:我渴望安慰 卻顯得狼狽 只為那迷離香味	A:那件白色的絲巾誰的 快去把它收起來	A:早上有一個歐巴桑 打電話來找你
352,A:舒琪 你有沒有在看書	B:有啊 我吃飽飯就進來讀書了	A:你在看哪一科,B:他在高雄港站三十幾年了	B:已經沒有火車行駛了	B:我們火車是非常熱門的時候	B:國文科啊	B:所以非常的安全喔	B:把活動力很強的蝦子電昏
353,A:女兒Zoy不但沒有偷懶,A:你交了別的女朋友	A:還把爸爸傳授的省錢概念倒背如流	A:是下一期大樂透的號碼	A:可是渡邊他是日本人	A:留下來的藏寶圖	A:請查明後再播 謝謝
354,A:所以現在我們去看看我們那些朋友囉	B:什麼朋友啊,A:乾脆就住學校	A:他們在討論星星喔	A:就是我們那些森林的朋友啊	A:你不要取笑他	A:大家都掛在梅子樹上	A:都是從很多地方來
355,A:我也要不停的彈下去 因為如果不這樣子的話 我就會像被冷凍在冰箱裡的花椰菜,A:永遠沒有辦法跟人家分享我的感覺	A:後來才知道	A:真的有人掉到水裡被救起來	A:夏天結束的時候	A:唯一讓人心裡感覺溫暖的	A:就是巧克力又回到廣場練舞了
356,A:晚餐吃火鍋	A:日本的火鍋跟台灣的火鍋不一樣,A:這家是新竹非常有名的一家涼麵店	A:應該是你們不夠老	A:我比較喜歡吃日本的火鍋	A:剛剛接到以前合作的數位公司打電話來邀課	A:謝謝主辦單位 謝謝學長學弟	A:孔雀魚及小型魚最佳飼料
357,A:巧柔 意文 他們剛剛那邊跑 在追什麼	B:老師 他們男生很機車耶 非得自己去交作業簿 而且還比誰跑第一	C:對啊 老師 他們男生真的很無聊 只會欺負我們女生,B:他們男生還在選什麼班花 還投票喔 討厭死了啦	B:明天要戶外教學 大家記得要準時到	B:我已經忘記昨天吃什麼點心了	B:原先最浪漫的歐洲 現在卻瀰漫著一股深深的哀愁	B:明天就是總統選舉了	B:他的麵包吃起來不僅美味 更有人味
358,A:可是我沒走過耶	B:沒關係 老師陪你走 走吧,A:可是在詩人的眼裡 下雨也有另外一番風情	A:我實在是不知道女生這樣 會哭得這麼厲害	A:比賽就是這樣子 幾家歡樂幾家愁	A:國語文競賽第一名同學 請到川堂集合	A:我只是想了解一下嘛	A:謝謝老師陪我走過這一段路
359,A:你看我做的 這個土星它是一個氣體行星 所以太空船沒有辦法降落哦	B:什麼是氣體行星,A:如果呢我們有一個很大的游泳池	A:好特別哦	A:那如果科學家駕著太空船到土星的話 就會沉下去哦	A:它掛著一個游泳圈	A:氣體行星就是說 它沒有一個固體的地殼	A:其實不只有土星這樣子啦
360,A:這裡的一切都是那麼的美好 因為我媽以前都帶我們小孩 小朋友去中興新村拍照,B:因為我媽以前都帶我們小孩	B:對 那時候就是有很多回憶啊	B:因為我覺得我們家裡很窮	B:家汶有一台單眼照相機	B:玩到好像是我媽媽覺得結束了 才回家	B:是她自己打工賺錢買的
361,A:你平常都怎麼照顧他,B:增加新球隊是無可避免的趨勢	B:搜救人員今天仍持續在倒塌瓦礫中搜索 看是否能救出生還者	B:艾圖維絕對有機會挑戰美聯年度最有價值球員大獎的肯定	B:有時候餵他吃東西 偶爾帶他去散步	B:墾丁屬於國內超夯觀光勝地	B:當年可愛精明模樣早已不復存在
362,A:好香喔 媽你在做什麼	B:我在炒牛肉青椒	A:是喔可以讓我試試看嗎,B:把活動力很強的蝦子電昏	B:當然可以啦 來	B:通通都吃進肚子裡了	B:對啊他真的很奇怪耶	B:這是百分之五十的尿液對不對	B:我怎麼沒有想過啊
363,A:這位就是今天的女主角 麗紅特別為她獻聲演出 你今天是為了她而唱的嗎,B:當然藉著結婚的這個日子	B:因為麗紅姊的歌聲很甜美	B:真是令人羨慕	B:陽光小雨在這裡祝福這對新人	B:對 我就是今天要來獻唱給她聽	B:看到了沒
364,A:就算你沒有參加運動比賽 平常也應該要多運動啊	B:怎麼	A:再不去運動啊 你看,A:希望我們大家更多的認識	A:所以將心比心	A:看似弱小的獨角仙卻是甲蟲之王	A:我想這就是他的動機	A:你的小腹都要發福了	A:他很喜歡參加這樣的活動
365,A:我就買了一些飲料 要請班上同學喝	B:不用這樣啦,A:她跟同學之間的互動 還是讓她自己處理吧	A:不用打勾勾了啦 你自己控制好就好	A:沒關係啦 這是我一點心意	A:不會再惹你不高興了 好不好	A:我絕對不會再自作主張	A:我是去跟你的同學道歉
366,A:名讀 你有沒有聞到一個臭味	B:有耶 好像一股鹹魚味	B:是不是你的,A:他是我最崇拜的人	A:不是啦 又不臭	A:謝謝你們兩位男子漢囉	A:這種距離我也投得進啊	A:體育小老師你來當比較好	A:你陪兒子聊聊天
367,A:看來同學們對這一則流言有很多種不同的說法	A:到底這個流言是真是假呢,A:這些錄音帶的內容是什麼	A:海水的還有活一兩個	A:今天探索了哈瑪星一整天	A:所以沿途這個新誕生的地區	A:我們馬上到流言教室去找出答案	A:這件事情給你們的教訓
368,A:濂僑 看你撒網捕魚的樣子 該不會打算帶觀眾朋友們去捕魚吧,B:這點常識我還知道的	B:夏季盛產的丁香魚 更是遠近馳名喔	B:這是我發明的	B:那什麼時候最忙呢	B:所以這兩句聽起來的意思很像是一樣	B:沒錯
369,A:你笑起來很好看喔	B:真的嗎 還好吧,A:但是我居然拿到第三名	A:然後視野常常是一望無際	A:當然是真的啊 現在笑起來就很好看	A:鐵道已經生鏽	A:英文講義已經送來了	A:而且你不覺得玉屏最近變了很多嗎
370,A:這裡的湖水風景真是好呀 濂僑大哥	A:我們現在所在的這個湖 叫做什麼湖啊,B:全部的人都到齊了只缺主角	B:他就是我們今天的主角陳志朋先生	B:你會一點點手語耶	B:這裡是桃園縣龍潭鄉的觀光大池	B:待會再看你的草藥啦	B:真拿你沒辦法
371,A:沒想到你也會來	B:是我媽告訴我的啊,B:而且我在想 你應該也會來吧	B:他們就快要去美國了	B:現在正在申請學校	B:我姓姚叫我季平就可以了	B:意外的是這樣大的難關 竟是季平陪我走過的	B:宋老師 你還是跟以前一樣耶
372,A:來 演一個	B:我跟你說 我第一個就是表演直升機的	A:那第二個呢,B:但是比手畫腳難免會看錯啦	B:才能理解不同成員要傳達的意思	B:知道厲害了吧	B:所以我們在八十八年的時候	B:我們會變成旗艦版	B:我就是表演海啊
373,A:我們跟你沒什麼好談的	A:你們以後給我離珍妮遠一點	A:你們要是誰敢亂說話傷害到她,A:我看我們到旁邊談好了	A:把課本夾在習作裡	A:我就把你們的惡行惡狀畫在海報上	A:他就會比較珍惜你	A:別那麼雞婆啦	A:你又突擊檢查啊
374,A:既然有過不愉快的婚姻經歷 怎麼又會在離婚四年之後 選擇再婚呢	B:我們也是透過人家介紹認識的,B:因為公司最近生意不好	B:道江省的不僅是冷氣的錢	B:你爸今天有點反常	B:爺爺今天怎麼還不回來	B:確定我們要開始交往的時候	B:他今天有危機意識
375,A:這樣你小時候 一定常常被媽媽打,B:你如果不相信 我等一下使兩套功夫給你看	B:對啊要打的時候 趕快跳過圍牆 就打不到了啊	B:老師這個汽水喝一輩子也喝不完耶	B:它這個水是沒毒 就是那個氣的厲害	B:它這就是碳酸離子 它普通冷水是冷外表 這個會滲透到體內	B:它就是那個會冒泡的冷泉啦
376,A:你們在幹什麼啦 怎麼在這邊欺負同學呢,B:我警告你喔 以後離我們遠一點喔	B:下過雨的操場邊有些積水跟泥巴地	B:我們哪有欺負他 是他自己來把我褲子弄髒的	B:濺了他身上一身泥巴	B:那老師先送你去保健室	B:有件事情你可能要稍微注意一下
377,A:小孩根本不看 只會點頭就跑去玩了 小孩真讓我頭痛,B:真的很不容易	B:一般聽人只要用說的就可以了	B:因為小孩子都很怕父母碎碎唸	B:要管好小孩真不容易啊	B:但是聾人如果用手語	B:唸到耳朵都覺得痛
